desc,sql,tag,dialect
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Count total orders by created_at,"SELECT created_at, count(*) FROM orders GROUP BY created_at ORDER BY 2 DESC",Engineering,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Find subscriptions with plan_type greater than 562,SELECT * FROM subscriptions WHERE plan_type > 242 LIMIT 100,Finance,Snowflake
Find products with stock_level greater than 169,SELECT * FROM products WHERE stock_level > 320 LIMIT 100,Finance,Postgres
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Finance,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Engineering,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Finance,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Engineering,Postgres
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Marketing,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Finance,Postgres
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Finance,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Find orders with id greater than 125,SELECT * FROM orders WHERE id > 251 LIMIT 100,Support,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Support,Postgres
Find users with email greater than 820,SELECT * FROM users WHERE email > 119 LIMIT 100,Engineering,Snowflake
Find orders with status greater than 834,SELECT * FROM orders WHERE status > 923 LIMIT 100,Marketing,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Marketing,Postgres
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Marketing,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Product,Postgres
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Finance,BigQuery
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Product,Snowflake
Find users with email greater than 745,SELECT * FROM users WHERE email > 82 LIMIT 100,Finance,Postgres
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Finance,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,Postgres
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Product,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Product,Snowflake
Find subscriptions with user_id greater than 624,SELECT * FROM subscriptions WHERE user_id > 463 LIMIT 100,Sales,Snowflake
Find subscriptions with plan_type greater than 792,SELECT * FROM subscriptions WHERE plan_type > 658 LIMIT 100,Marketing,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Find events with event_type greater than 468,SELECT * FROM events WHERE event_type > 992 LIMIT 100,Marketing,Postgres
Calculate average event_type in events,SELECT avg(event_type) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Find users with email greater than 886,SELECT * FROM users WHERE email > 332 LIMIT 100,Finance,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Marketing,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Support,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,Postgres
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Product,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Finance,Snowflake
Find orders with status greater than 648,SELECT * FROM orders WHERE status > 159 LIMIT 100,Marketing,Postgres
Count total orders by user_id,"SELECT user_id, count(*) FROM orders GROUP BY user_id ORDER BY 2 DESC",Finance,Postgres
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Sales,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Find users with email greater than 300,SELECT * FROM users WHERE email > 215 LIMIT 100,Support,BigQuery
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Find events with event_id greater than 309,SELECT * FROM events WHERE event_id > 898 LIMIT 100,Support,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Product,BigQuery
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Product,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Find orders with created_at greater than 99,SELECT * FROM orders WHERE created_at > 757 LIMIT 100,Marketing,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Support,Postgres
Find orders with user_id greater than 793,SELECT * FROM orders WHERE user_id > 336 LIMIT 100,Marketing,Snowflake
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Engineering,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Marketing,Postgres
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Find logs with message greater than 447,SELECT * FROM logs WHERE message > 424 LIMIT 100,Finance,BigQuery
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Support,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Finance,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Finance,BigQuery
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Product,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Engineering,Snowflake
Find users with signup_date greater than 745,SELECT * FROM users WHERE signup_date > 760 LIMIT 100,Finance,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Product,BigQuery
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Sales,BigQuery
Count total events by session_id,"SELECT session_id, count(*) FROM events GROUP BY session_id ORDER BY 2 DESC",Support,Postgres
Find logs with level greater than 305,SELECT * FROM logs WHERE level > 651 LIMIT 100,Engineering,Postgres
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Finance,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Postgres
Find subscriptions with mrr greater than 849,SELECT * FROM subscriptions WHERE mrr > 855 LIMIT 100,Engineering,Postgres
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Finance,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Count total logs by level,"SELECT level, count(*) FROM logs GROUP BY level ORDER BY 2 DESC",Support,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Finance,BigQuery
Find products with category greater than 547,SELECT * FROM products WHERE category > 224 LIMIT 100,Support,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Find events with url greater than 878,SELECT * FROM events WHERE url > 334 LIMIT 100,Sales,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
